table,fieldName,description,dataType,units,downloadPkg
bet_archivepooling,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
bet_archivepooling,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
bet_parataxonomistID,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
bet_parataxonomistID,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
bet_parataxonomistID,domainID,"Unique identifier of the NEON domain",string,NA,basic
bet_parataxonomistID,siteID,"NEON site code",string,NA,basic
bet_parataxonomistID,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
bet_parataxonomistID,trapID,"Identifier for trap",string,NA,basic
bet_parataxonomistID,setDate,"Date that trap was set",dateTime,NA,basic
bet_parataxonomistID,collectDate,"Date of the collection event",dateTime,NA,basic
bet_parataxonomistID,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",dateTime,NA,basic
bet_parataxonomistID,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,basic
bet_parataxonomistID,subsampleID,"Unique identifier associated with each subsample per sampleID",string,NA,basic
bet_parataxonomistID,subsampleCode,"Barcode of a subsample",string,NA,basic
bet_parataxonomistID,individualID,"Domain-level unique identifier for an individual: NEON.MOD.D##.######",string,NA,basic
bet_parataxonomistID,taxonID,"Species code, based on one or more sources",string,NA,basic
bet_parataxonomistID,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic
bet_parataxonomistID,taxonRank,"The lowest level taxonomic rank that can be determined for the individual or specimen",string,NA,basic
bet_parataxonomistID,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",string,NA,basic
bet_parataxonomistID,scientificNameAuthorship,"Name of the individual(s) who designated the scientific name of the taxon",string,NA,basic
bet_parataxonomistID,morphospeciesID,"Identifier for morphospecies",string,NA,basic
bet_parataxonomistID,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,basic
bet_parataxonomistID,nativeStatusCode,"The process by which the taxon became established in the location",string,NA,basic
bet_parataxonomistID,totalLength,"total length (head + body); in millimeters",unsigned integer,millimeter,basic
bet_parataxonomistID,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,basic
bet_parataxonomistID,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
bet_parataxonomistID,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
bet_sorting,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
bet_sorting,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
bet_sorting,domainID,"Unique identifier of the NEON domain",string,NA,basic
bet_sorting,siteID,"NEON site code",string,NA,basic
bet_sorting,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
bet_sorting,trapID,"Identifier for trap",string,NA,basic
bet_sorting,setDate,"Date that trap was set",dateTime,NA,basic
bet_sorting,collectDate,"Date of the collection event",dateTime,NA,basic
bet_sorting,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",dateTime,NA,basic
bet_sorting,etOHChangeDate,"Date the ethanol rinse was completed",dateTime,NA,basic
bet_sorting,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,basic
bet_sorting,sampleID,"Identifier for sample",string,NA,basic
bet_sorting,sampleCode,"Barcode of a sample",string,NA,basic
bet_sorting,subsampleID,"Unique identifier associated with each subsample per sampleID",string,NA,basic
bet_sorting,subsampleCode,"Barcode of a subsample",string,NA,basic
bet_sorting,sampleType,"Type of sample",string,NA,basic
bet_sorting,taxonID,"Species code, based on one or more sources",string,NA,basic
bet_sorting,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic
bet_sorting,taxonRank,"The lowest level taxonomic rank that can be determined for the individual or specimen",string,NA,basic
bet_sorting,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",string,NA,basic
bet_sorting,scientificNameAuthorship,"Name of the individual(s) who designated the scientific name of the taxon",string,NA,basic
bet_sorting,morphospeciesID,"Identifier for morphospecies",string,NA,basic
bet_sorting,individualCount,"Number of individuals of the same type",unsigned integer,number,basic
bet_sorting,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,basic
bet_sorting,nativeStatusCode,"The process by which the taxon became established in the location",string,NA,basic
bet_sorting,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,basic
bet_sorting,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
bet_sorting,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
bet_fielddata,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic
bet_fielddata,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic
bet_fielddata,domainID,"Unique identifier of the NEON domain",string,NA,basic
bet_fielddata,siteID,"NEON site code",string,NA,basic
bet_fielddata,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic
bet_fielddata,trapID,"Identifier for trap",string,NA,basic
bet_fielddata,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic
bet_fielddata,nlcdClass,"National Land Cover Database Vegetation Type Name",string,NA,basic
bet_fielddata,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic
bet_fielddata,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic
bet_fielddata,geodeticDatum,"Model used to measure horizontal position on the earth",string,NA,basic
bet_fielddata,coordinateUncertainty,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",real,meter,basic
bet_fielddata,elevation,"Elevation (in meters) above sea level",real,meter,basic
bet_fielddata,elevationUncertainty,"Uncertainty in elevation values (in meters)",real,meter,basic
bet_fielddata,setDate,"Date that trap was set",dateTime,NA,basic
bet_fielddata,collectDate,"Date of the collection event",dateTime,NA,basic
bet_fielddata,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic
bet_fielddata,trappingDays,"Decimal days between trap setting and collecting events",real,nominalDay,basic
bet_fielddata,sampleCollected,"Indicator of whether a sample was collected",string,NA,basic
bet_fielddata,sampleID,"Identifier for sample",string,NA,basic
bet_fielddata,sampleCode,"Barcode of a sample",string,NA,basic
bet_fielddata,cupStatus,"Indicator of whether the cup of the trap was disturbed or missing during the sampling bout",string,NA,basic
bet_fielddata,lidStatus,"Indicator of whether the lid of the trap was disturbed or missing during the sampling bout",string,NA,basic
bet_fielddata,fluidLevel,"Fluid level in the trap when it was collected; High (above line); Low (below line) or Ok",string,NA,basic
bet_fielddata,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,basic
bet_fielddata,recordedBy,"An identifier for the technician who recorded the data",string,NA,basic
bet_fielddata,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic
